Hour,Day_Type,Weather,Location,Local_Event,Demand_Score,Price_Multiplier
20,Weekday,Sunny,Madhapur,0,5,1.14
3,Weekday,Windy,Hitech City,0,2,0.94
16,Weekday,Rainy,Dilsukhnagar,1,7,1.58
8,Weekday,Rainy,Kukatpally,1,10,1.91
10,Weekday,Sunny,Kukatpally,0,4,1.35
19,Weekend,Sunny,Kukatpally,0,7,1.43
9,Weekend,Rainy,Hitech City,0,9,2.34
2,Weekday,Sunny,Kukatpally,1,6,1.65
11,Weekday,Cloudy,Madhapur,0,4,1.31
21,Weekday,Rainy,Dilsukhnagar,0,7,1.58
8,Weekday,Cloudy,Hitech City,0,5,1.34
12,Weekend,Sunny,Banjara Hills,1,10,2.26
12,Weekend,Rainy,Madhapur,0,9,2.32
17,Weekend,Windy,Dilsukhnagar,1,6,1.49
4,Weekend,Sunny,Hitech City,0,4,1.29
21,Weekend,Sunny,Kukatpally,1,10,2.17
17,Weekday,Sunny,Dilsukhnagar,1,5,1.13
13,Weekday,Windy,Hitech City,1,9,2.16
3,Weekend,Rainy,Banjara Hills,1,10,2.18
16,Weekday,Cloudy,Kukatpally,0,1,1.09
9,Weekday,Sunny,Banjara Hills,0,4,1.32
2,Weekday,Rainy,Kukatpally,0,5,1.26
19,Weekend,Rainy,Dilsukhnagar,0,9,2.08
21,Weekend,Windy,Dilsukhnagar,1,7,1.5
2,Weekend,Sunny,Dilsukhnagar,0,2,0.9
22,Weekday,Rainy,Hitech City,0,7,1.43
7,Weekend,Windy,Banjara Hills,0,6,1.5
15,Weekend,Rainy,Hitech City,0,9,2.05
13,Weekend,Sunny,Hitech City,0,9,2.31
3,Weekday,Rainy,Banjara Hills,1,9,2.1
8,Weekend,Rainy,Hitech City,1,11,1.84
17,Weekday,Sunny,Banjara Hills,0,5,1.25
6,Weekend,Sunny,Banjara Hills,1,6,1.79
8,Weekend,Cloudy,Kukatpally,1,8,1.48
6,Weekday,Sunny,Madhapur,0,1,1.02
16,Weekday,Sunny,Dilsukhnagar,0,1,0.91
2,Weekday,Windy,Hitech City,0,2,1.02
13,Weekend,Cloudy,Banjara Hills,1,11,1.99
4,Weekend,Windy,Madhapur,0,2,0.99
18,Weekday,Sunny,Dilsukhnagar,0,2,0.93
11,Weekday,Rainy,Madhapur,1,8,1.58
17,Weekend,Sunny,Dilsukhnagar,1,4,1.38
4,Weekend,Sunny,Hitech City,0,5,1.18
6,Weekend,Rainy,Madhapur,1,10,2.43
1,Weekday,Windy,Madhapur,0,1,0.97
4,Weekend,Rainy,Kukatpally,1,7,1.44
22,Weekday,Sunny,Madhapur,0,4,1.14
9,Weekend,Sunny,Madhapur,0,5,1.3
11,Weekend,Rainy,Banjara Hills,0,7,1.75
0,Weekday,Cloudy,Kukatpally,0,3,1.15
22,Weekday,Windy,Hitech City,1,6,1.48
14,Weekend,Cloudy,Banjara Hills,0,7,1.66
12,Weekend,Cloudy,Hitech City,1,12,2.25
12,Weekend,Sunny,Hitech City,1,10,2.21
8,Weekday,Sunny,Dilsukhnagar,1,7,1.69
10,Weekend,Sunny,Kukatpally,0,5,1.11
13,Weekday,Rainy,Madhapur,1,10,2.46
10,Weekend,Sunny,Madhapur,1,10,2.03
22,Weekend,Rainy,Banjara Hills,1,12,2.27
5,Weekend,Windy,Dilsukhnagar,0,3,1.19
13,Weekend,Windy,Kukatpally,1,8,1.6
23,Weekday,Sunny,Madhapur,1,4,1.35
7,Weekend,Rainy,Banjara Hills,0,6,1.42
